Date,GLD,TLT
2002-07-31,,36.41363525390625
2002-08-31,,38.42118835449219
2002-09-30,,39.886009216308594
2002-10-31,,38.4313850402832
2002-11-30,,38.052879333496094
2002-12-31,,39.57370376586914
2003-01-31,,39.72407913208008
2003-02-28,,40.811214447021484
2003-03-31,,40.243770599365234
2003-04-30,,40.645503997802734
2003-05-31,,43.1691780090332
2003-06-30,,42.43522262573242
2003-07-31,,38.214908599853516
2003-08-31,,38.68498992919922
2003-09-30,,40.98518371582031
2003-10-31,,39.75432586669922
2003-11-30,,39.89230728149414
2003-12-31,,40.206512451171875
2004-01-31,,41.3493766784668
2004-02-29,,42.11900329589844
2004-03-31,,42.71748352050781
2004-04-30,,40.059085845947266
2004-05-31,,39.95574951171875
2004-06-30,,40.37709426879883
2004-07-31,,40.98965835571289
2004-08-31,,42.702091217041016
2004-09-30,,43.10379409790039
2004-10-31,,43.85993576049805
2004-11-30,45.119998931884766,42.80908966064453
2004-12-31,43.79999923706055,43.78101348876953
2005-01-31,42.220001220703125,45.702598571777344
2005-02-28,43.529998779296875,44.86041259765625
2005-03-31,42.81999969482422,44.68462371826172
2005-04-30,43.349998474121094,46.38564682006836
2005-05-31,41.650001525878906,47.84701156616211
2005-06-30,43.439998626708984,48.87770462036133
2005-07-31,42.81999969482422,47.23667526245117
2005-08-31,43.400001525878906,48.865482330322266
2005-09-30,46.70000076293945,47.11066818237305
2005-10-31,46.400001525878906,46.0343132019043
2005-11-30,49.099998474121094,46.329036712646484
2005-12-31,51.58000183105469,47.5172004699707
2006-01-31,56.70000076293945,47.28091812133789
2006-02-28,56.06999969482422,47.63554000854492
2006-03-31,58.099998474121094,45.460296630859375
2006-04-30,65.08999633789062,44.19697570800781
2006-05-31,64.2300033569336,44.106178283691406
2006-06-30,61.22999954223633,44.62379455566406
2006-07-31,63.15999984741211,45.593238830566406
2006-08-31,62.290000915527344,46.981536865234375
2006-09-30,59.470001220703125,47.88179397583008
2006-10-31,60.2400016784668,48.28791046142578
2006-11-30,64.38999938964844,49.4083137512207
2006-12-31,63.209999084472656,47.91899108886719
2007-01-31,64.83000183105469,47.78160858154297
2007-02-28,66.4800033569336,49.20050048828125
2007-03-31,65.73999786376953,48.37607192993164
2007-04-30,67.08999633789062,48.81937789916992
2007-05-31,65.54000091552734,47.69182205200195
2007-06-30,64.2699966430664,47.19607162475586
2007-07-31,65.79000091552734,48.76670455932617
2007-08-31,66.5199966430664,49.635379791259766
2007-09-30,73.51000213623047,49.739524841308594
2007-10-31,78.62000274658203,50.65217590332031
2007-11-30,77.31999969482422,53.33648681640625
2007-12-31,82.45999908447266,52.81049728393555
2008-01-31,91.4000015258789,54.35055160522461
2008-02-29,96.18000030517578,53.91567611694336
2008-03-31,90.41000366210938,55.05618667602539
2008-04-30,86.6500015258789,53.658172607421875
2008-05-31,87.44999694824219,52.24850082397461
2008-06-30,91.4000015258789,53.63423538208008
2008-07-31,90.08000183105469,53.43864059448242
2008-08-31,81.70999908447266,54.90098190307617
2008-09-30,85.06999969482422,55.711265563964844
2008-10-31,71.33999633789062,54.70576477050781
2008-11-30,80.30999755859375,62.492984771728516
2008-12-31,86.5199966430664,70.83228302001953
2009-01-31,91.30999755859375,61.98833465576172
2009-02-28,92.62999725341797,60.87104034423828
2009-03-31,90.27999877929688,63.333335876464844
2009-04-30,87.2699966430664,58.9251708984375
2009-05-31,96.19999694824219,56.73814392089844
2009-06-30,91.18000030517578,57.15224075317383
2009-07-31,93.3499984741211,57.4833984375
2009-08-31,93.4000015258789,58.756988525390625
2009-09-30,98.8499984741211,60.21194076538086
2009-10-31,102.52999877929688,58.64065170288086
2009-11-30,115.63999938964844,59.34572219848633
2009-12-31,107.30999755859375,55.384437561035156
2010-01-31,105.95999908447266,57.260284423828125
2010-02-28,109.43000030517578,56.86333084106445
2010-03-31,108.94999694824219,55.713401794433594
2010-04-30,115.36000061035156,57.532535552978516
2010-05-31,118.87999725341797,60.48587417602539
2010-06-30,121.68000030517578,63.99888610839844
2010-07-31,115.48999786376953,63.41425323486328
2010-08-31,122.08000183105469,68.72300720214844
2010-09-30,127.91000366210938,67.0083236694336
2010-10-31,132.6199951171875,63.965457916259766
2010-11-30,135.4199981689453,62.91886520385742
2010-12-31,138.72000122070312,60.36784744262695
